date,follower
2024-11-16,1188592
2024-11-15,1188151
2024-11-14,1187888
2024-11-13,1187604
2024-11-12,1187300
2024-11-11,1186926
2024-11-10,1186522
2024-11-09,1186059
2024-11-08,1185604
2024-11-07,1185270
2024-11-06,1184968
2024-11-05,1184624
2024-11-04,1184236
2024-11-03,1183830
2024-11-02,1183380
2024-11-01,1182615
2024-10-31,1182217
2024-10-30,1181950
2024-10-29,1181724
2024-10-28,1181313
2024-10-27,1180867
2024-10-26,1180195
2024-10-25,1179551
2024-10-24,1179144
2024-10-23,1178636
2024-10-22,1178131
2024-10-21,1177609
2024-10-20,1176988
2024-10-19,1175919
2024-10-18,1174442
2024-10-17,1173453
2024-10-16,1173030
2024-10-15,1172606
2024-10-14,1172108
2024-10-13,1171652
2024-10-12,1170756
2024-10-11,1169950
2024-10-10,1169315
2024-10-09,1168597
2024-10-08,1167623
2024-10-07,1166490
2024-10-06,1163894
2024-10-05,1161427
2024-10-04,1160034
2024-10-03,1158842
2024-10-02,1157812
2024-10-01,1156728
2024-09-30,1156072
2024-09-29,1155677
2024-09-28,1155362
2024-09-27,1154935
2024-09-26,1154604
2024-09-25,1154145
2024-09-24,1153623
2024-09-23,1153204
2024-09-22,1152700
2024-09-21,1151748
2024-09-20,1150749
2024-09-19,1150270
2024-09-18,1149664
2024-09-17,1148729
2024-09-16,1147547
2024-09-15,1146360
2024-09-14,1145466
2024-09-13,1144934
2024-09-12,1144481
2024-09-11,1144132
2024-09-10,1143521
2024-09-09,1143012
2024-09-08,1142395
2024-09-07,1140981
2024-09-06,1139738
2024-09-05,1138367
2024-09-04,1136877
2024-09-03,1136248
2024-09-02,1135547
2024-09-01,1134751
2024-08-31,1133670
2024-08-30,1132293
2024-08-29,1130719
2024-08-28,1128667
2024-08-27,1127458
2024-08-26,1126284
2024-08-25,1124702
2024-08-24,1122890
2024-08-23,1121851
2024-08-22,1121113
2024-08-21,1120129
2024-08-20,1119139
2024-08-19,1117729
2024-08-18,1116902
2024-08-17,1116016
2024-08-16,1115040
2024-08-15,1114056
2024-08-14,1113063
2024-08-13,1111839
2024-08-12,1110520
2024-08-11,1108261
2024-08-10,1107141
2024-08-09,1106059
2024-08-08,1104865
2024-08-07,1103366
2024-08-06,1101787
2024-08-05,1100024
2024-08-04,1097812
2024-08-03,1095685
2024-08-02,1094620
2024-08-01,1093246
2024-07-31,1092120
2024-07-30,1090958
2024-07-29,1089832
2024-07-28,1088631
2024-07-27,1087499
2024-07-26,1086387
2024-07-25,1085027
2024-07-24,1083860
2024-07-23,1082775
2024-07-22,1081248
2024-07-21,1079621
2024-07-20,1077861
2024-07-19,1076531
2024-07-18,1075464
2024-07-17,1074411
2024-07-16,1072868
2024-07-15,1071788
2024-07-14,1070817
2024-07-13,1069757
2024-07-12,1068561
2024-07-11,1067755
2024-07-10,1067080
2024-07-09,1066498
2024-07-08,1065802
2024-07-07,1064974
2024-07-06,1064615
2024-07-05,1064394
2024-07-04,1064101
2024-07-03,1063767
2024-07-02,1063397
2024-07-01,1062937
2024-06-30,1062590
2024-06-29,1062231
2024-06-28,1061496
2024-06-27,1060800
2024-06-26,1060322
2024-06-25,1060008
2024-06-24,1060003
2024-06-23,1058954
2024-06-22,1058381
2024-06-21,1058306
2024-06-20,1057899
2024-06-19,1057499
2024-06-18,1057026
2024-06-17,1056597
2024-06-16,1056213
2024-06-15,1055820
2024-06-14,1055439
2024-06-13,1054977
2024-06-12,1054195
2024-06-11,1052779
2024-06-10,1052645
2024-06-09,1052418
2024-06-08,1052217
2024-06-07,1052128
2024-06-06,1051956
2024-06-05,1051738
2024-06-04,1051584
2024-06-03,1051550
2024-06-02,1051447
2024-06-01,1051347
2024-05-31,1051034
2024-05-30,1050969
2024-05-29,1050865
2024-05-28,1050808
2024-05-27,1050701
2024-05-26,1050595
2024-05-25,1050432
2024-05-24,1050106
2024-05-23,1050033
2024-05-22,1049973
2024-05-21,1049789
2024-05-20,1049871
2024-05-19,1049787
2024-05-18,1049324
2024-05-17,1049209
2024-05-16,1049056
2024-05-15,1048950
2024-05-14,1048881
2024-05-13,1048851
2024-05-12,1048763
2024-05-11,1048682
2024-05-10,1048608
